Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
12,0.07,0.04,920.0,23496.820666817155,12,af3b9d6b5cbb,0.1,3,0.8,625
13,0.07,0.04,1072.0,28247.51453287872,13,af3b9d6b5cbb,0.1,3,0.8,625
0,0.07,0.04,3.0,134.3840941961631,0,cb88c9ac35ef,0.1,3,0.8,625
1,0.07,0.04,14.0,501.1144360104488,1,cb88c9ac35ef,0.1,3,0.8,625
2,0.07,0.04,29.0,1680.6641819803235,2,cb88c9ac35ef,0.1,3,0.8,625
3,0.07,0.04,83.0,3709.884033332008,3,cb88c9ac35ef,0.1,3,0.8,625
4,0.07,0.04,185.0,7053.242782406188,4,cb88c9ac35ef,0.1,3,0.8,625
5,0.07,0.04,431.0,10887.107360223124,5,cb88c9ac35ef,0.1,3,0.8,625
6,0.07,0.04,629.0,15242.74472063809,6,cb88c9ac35ef,0.1,3,0.8,625
7,0.07,0.04,832.0,21328.088311281583,7,cb88c9ac35ef,0.1,3,0.8,625
8,0.07,0.04,1012.0,27166.22101042106,8,cb88c9ac35ef,0.1,3,0.8,625
9,0.07,0.04,1137.0,33895.00574565402,9,cb88c9ac35ef,0.1,3,0.8,625
10,0.07,0.04,1210.0,42701.2879046272,10,cb88c9ac35ef,0.1,3,0.8,625
11,0.07,0.04,1275.0,48855.94890427971,11,cb88c9ac35ef,0.1,3,0.8,625
12,0.07,0.04,1302.0,53219.28112129397,12,cb88c9ac35ef,0.1,3,0.8,625
13,0.07,0.04,1336.0,57577.74088786156,13,cb88c9ac35ef,0.1,3,0.8,625
0,0.07,0.04,1.0,9.565049641530594,0,f60dfcd2ab5b,0.1,3,0.8,625
1,0.07,0.04,1.0,17.93595371271059,1,f60dfcd2ab5b,0.1,3,0.8,625
2,0.07,0.04,2.0,25.36093243205485,2,f60dfcd2ab5b,0.1,3,0.8,625
3,0.07,0.04,2.0,33.09553686561375,3,f60dfcd2ab5b,0.1,3,0.8,625
4,0.07,0.04,2.0,52.47892395082636,4,f60dfcd2ab5b,0.1,3,0.8,625
5,0.07,0.04,6.0,89.14542386877167,5,f60dfcd2ab5b,0.1,3,0.8,625
6,0.07,0.04,8.0,254.4654913432442,6,f60dfcd2ab5b,0.1,3,0.8,625
7,0.07,0.04,21.0,865.3945010445909,7,f60dfcd2ab5b,0.1,3,0.8,625
8,0.07,0.04,44.0,2019.251731396052,8,f60dfcd2ab5b,0.1,3,0.8,625
9,0.07,0.04,79.0,4199.3724116871645,9,f60dfcd2ab5b,0.1,3,0.8,625
10,0.07,0.04,193.0,7852.067050243661,10,f60dfcd2ab5b,0.1,3,0.8,625
11,0.07,0.04,454.0,11979.14034898764,11,f60dfcd2ab5b,0.1,3,0.8,625
12,0.07,0.04,668.0,17101.93924916335,12,f60dfcd2ab5b,0.1,3,0.8,625
13,0.07,0.04,880.0,23823.58494433108,13,f60dfcd2ab5b,0.1,3,0.8,625
0,0.07,0.04,1.0,77.03885141482897,0,676fc12b41bd,0.1,3,0.8,625
1,0.07,0.04,3.0,234.1373176493338,1,676fc12b41bd,0.1,3,0.8,625
2,0.07,0.04,6.0,815.8273632470764,2,676fc12b41bd,0.1,3,0.8,625
3,0.07,0.04,21.0,2226.825509851853,3,676fc12b41bd,0.1,3,0.8,625
4,0.07,0.04,60.0,4274.340783397372,4,676fc12b41bd,0.1,3,0.8,625
5,0.07,0.04,167.0,7947.035498666875,5,676fc12b41bd,0.1,3,0.8,625
6,0.07,0.04,439.0,11899.733373265668,6,676fc12b41bd,0.1,3,0.8,625
7,0.07,0.04,640.0,15639.947018212531,7,676fc12b41bd,0.1,3,0.8,625
8,0.07,0.04,862.0,20625.171220084558,8,676fc12b41bd,0.1,3,0.8,625
9,0.07,0.04,1028.0,26315.897723771926,9,676fc12b41bd,0.1,3,0.8,625
10,0.07,0.04,1147.0,31243.51683616306,10,676fc12b41bd,0.1,3,0.8,625
11,0.07,0.04,1217.0,39361.03529731794,11,676fc12b41bd,0.1,3,0.8,625
12,0.07,0.04,1271.0,45996.69949353243,12,676fc12b41bd,0.1,3,0.8,625
13,0.07,0.04,1303.0,51274.76871991006,13,676fc12b41bd,0.1,3,0.8,625
0,0.07,0.04,1.0,15.388989609762197,0,d8ec3903c81c,0.1,3,0.8,625
1,0.07,0.04,2.0,46.44065834916598,1,d8ec3903c81c,0.1,3,0.8,625
2,0.07,0.04,3.0,161.02632948163344,2,d8ec3903c81c,0.1,3,0.8,625
3,0.07,0.04,5.0,850.7706177490553,3,d8ec3903c81c,0.1,3,0.8,625
4,0.07,0.04,22.0,1963.289723355669,4,d8ec3903c81c,0.1,3,0.8,625
5,0.07,0.04,53.0,3512.0909185033784,5,d8ec3903c81c,0.1,3,0.8,625
6,0.07,0.04,124.0,6638.674360148273,6,d8ec3903c81c,0.1,3,0.8,625
7,0.07,0.04,336.0,10215.332206173927,7,d8ec3903c81c,0.1,3,0.8,625
8,0.07,0.04,568.0,14111.991911425936,8,d8ec3903c81c,0.1,3,0.8,625
9,0.07,0.04,783.0,18246.590871816305,9,d8ec3903c81c,0.1,3,0.8,625
10,0.07,0.04,966.0,24350.24009618818,10,d8ec3903c81c,0.1,3,0.8,625
11,0.07,0.04,1109.0,29268.6564472783,11,d8ec3903c81c,0.1,3,0.8,625
12,0.07,0.04,1190.0,35285.81939215727,12,d8ec3903c81c,0.1,3,0.8,625
13,0.07,0.04,1246.0,43648.54086856608,13,d8ec3903c81c,0.1,3,0.8,625
0,0.07,0.04,2.0,226.56018035616677,0,c9fcb0463eca,0.1,3,0.8,625
1,0.07,0.04,10.0,1017.0908664954868,1,c9fcb0463eca,0.1,3,0.8,625
2,0.07,0.04,47.0,2908.5828239863795,2,c9fcb0463eca,0.1,3,0.8,625
3,0.07,0.04,161.0,5792.642813636958,3,c9fcb0463eca,0.1,3,0.8,625
4,0.07,0.04,336.0,9310.048194723213,4,c9fcb0463eca,0.1,3,0.8,625
5,0.07,0.04,548.0,13673.36422673609,5,c9fcb0463eca,0.1,3,0.8,625
6,0.07,0.04,766.0,19672.82955859981,6,c9fcb0463eca,0.1,3,0.8,625
7,0.07,0.04,946.0,25696.34710457768,7,c9fcb0463eca,0.1,3,0.8,625
8,0.07,0.04,1094.0,32243.974747748023,8,c9fcb0463eca,0.1,3,0.8,625
9,0.07,0.04,1177.0,40977.45799173916,9,c9fcb0463eca,0.1,3,0.8,625
10,0.07,0.04,1246.0,47685.3966527332,10,c9fcb0463eca,0.1,3,0.8,625
11,0.07,0.04,1291.0,52697.15515924594,11,c9fcb0463eca,0.1,3,0.8,625
12,0.07,0.04,1322.0,56752.87913521342,12,c9fcb0463eca,0.1,3,0.8,625
13,0.07,0.04,1360.0,60665.01741301668,13,c9fcb0463eca,0.1,3,0.8,625
0,0.07,0.04,11.0,1472.012628893912,0,d74c216d2abf,0.1,3,0.8,625
1,0.07,0.04,47.0,3224.950826456551,1,d74c216d2abf,0.1,3,0.8,625
2,0.07,0.04,123.0,6068.005795019836,2,d74c216d2abf,0.1,3,0.8,625
3,0.07,0.04,279.0,9950.80849577482,3,d74c216d2abf,0.1,3,0.8,625
4,0.07,0.04,513.0,13821.400054870412,4,d74c216d2abf,0.1,3,0.8,625
5,0.07,0.04,740.0,17907.76399694993,5,d74c216d2abf,0.1,3,0.8,625
6,0.07,0.04,944.0,23194.783871653493,6,d74c216d2abf,0.1,3,0.8,625
7,0.07,0.04,1075.0,27972.75128206006,7,d74c216d2abf,0.1,3,0.8,625
8,0.07,0.04,1178.0,33202.33109061339,8,d74c216d2abf,0.1,3,0.8,625
9,0.07,0.04,1227.0,41343.87057612648,9,d74c216d2abf,0.1,3,0.8,625
10,0.07,0.04,1282.0,47781.71742816488,10,d74c216d2abf,0.1,3,0.8,625
11,0.07,0.04,1307.0,52630.28535610722,11,d74c216d2abf,0.1,3,0.8,625
12,0.07,0.04,1334.0,56586.085846598304,12,d74c216d2abf,0.1,3,0.8,625
13,0.07,0.04,1373.0,60348.7983081006,13,d74c216d2abf,0.1,3,0.8,625
0,0.07,0.04,1.0,32.97621859461762,0,85432a9890aa,0.1,3,0.8,625
1,0.07,0.04,2.0,254.7807092231952,1,85432a9890aa,0.1,3,0.8,625
2,0.07,0.04,10.0,1140.5743413970824,2,85432a9890aa,0.1,3,0.8,625
3,0.07,0.04,41.0,2798.6758616927823,3,85432a9890aa,0.1,3,0.8,625
4,0.07,0.04,84.0,4766.594505147694,4,85432a9890aa,0.1,3,0.8,625
5,0.07,0.04,215.0,8166.451229078471,5,85432a9890aa,0.1,3,0.8,625
