Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
0,0.09,0.03,1.0,39.8145711143534,0,9bc7684b0d1c,0.1,3,0.4,625
1,0.09,0.03,1.0,39.81971512482221,1,9bc7684b0d1c,0.1,3,0.4,625
2,0.09,0.03,1.0,39.81999004323326,2,9bc7684b0d1c,0.1,3,0.4,625
3,0.09,0.03,1.0,39.82000636981311,3,9bc7684b0d1c,0.1,3,0.4,625
4,0.09,0.03,1.0,39.82000724224685,4,9bc7684b0d1c,0.1,3,0.4,625
5,0.09,0.03,1.0,39.82000729405767,5,9bc7684b0d1c,0.1,3,0.4,625
6,0.09,0.03,1.0,39.82000729684188,6,9bc7684b0d1c,0.1,3,0.4,625
7,0.09,0.03,1.0,39.82000729699066,7,9bc7684b0d1c,0.1,3,0.4,625
8,0.09,0.03,1.0,39.820007296999485,8,9bc7684b0d1c,0.1,3,0.4,625
9,0.09,0.03,1.0,39.82000729699997,9,9bc7684b0d1c,0.1,3,0.4,625
10,0.09,0.03,1.0,39.820007296999975,10,9bc7684b0d1c,0.1,3,0.4,625
11,0.09,0.03,1.0,39.820007296999975,11,9bc7684b0d1c,0.1,3,0.4,625
12,0.09,0.03,1.0,39.820007296999975,12,9bc7684b0d1c,0.1,3,0.4,625
13,0.09,0.03,1.0,39.820007296999975,13,9bc7684b0d1c,0.1,3,0.4,625
0,0.09,0.03,35.0,619.4739043771906,0,78168d2921f8,0.1,3,0.4,625
1,0.09,0.03,114.0,2600.480276566473,1,78168d2921f8,0.1,3,0.4,625
2,0.09,0.03,333.0,6062.568550000159,2,78168d2921f8,0.1,3,0.4,625
3,0.09,0.03,611.0,11633.917391107594,3,78168d2921f8,0.1,3,0.4,625
4,0.09,0.03,835.0,19056.93013057689,4,78168d2921f8,0.1,3,0.4,625
5,0.09,0.03,947.0,28550.49609072835,5,78168d2921f8,0.1,3,0.4,625
6,0.09,0.03,1027.0,35878.585972918896,6,78168d2921f8,0.1,3,0.4,625
7,0.09,0.03,1119.0,41841.87217076501,7,78168d2921f8,0.1,3,0.4,625
8,0.09,0.03,1198.0,46995.33382550715,8,78168d2921f8,0.1,3,0.4,625
9,0.09,0.03,1296.0,51958.75592534441,9,78168d2921f8,0.1,3,0.4,625
10,0.09,0.03,1399.0,54965.52263274406,10,78168d2921f8,0.1,3,0.4,625
11,0.09,0.03,1471.0,57823.35206836566,11,78168d2921f8,0.1,3,0.4,625
12,0.09,0.03,1572.0,60390.36518184844,12,78168d2921f8,0.1,3,0.4,625
13,0.09,0.03,1676.0,63153.531764101215,13,78168d2921f8,0.1,3,0.4,625
0,0.09,0.03,33.0,1448.462722410098,0,6041bbb08b7a,0.1,3,0.4,625
1,0.09,0.03,98.0,3256.289480285054,1,6041bbb08b7a,0.1,3,0.4,625
2,0.09,0.03,312.0,6355.247362798718,2,6041bbb08b7a,0.1,3,0.4,625
3,0.09,0.03,621.0,10716.53797235212,3,6041bbb08b7a,0.1,3,0.4,625
4,0.09,0.03,839.0,14038.746736297177,4,6041bbb08b7a,0.1,3,0.4,625
5,0.09,0.03,952.0,16167.58475953937,5,6041bbb08b7a,0.1,3,0.4,625
6,0.09,0.03,1018.0,20046.25486205346,6,6041bbb08b7a,0.1,3,0.4,625
7,0.09,0.03,1108.0,22551.049078752338,7,6041bbb08b7a,0.1,3,0.4,625
8,0.09,0.03,1173.0,23831.030939926804,8,6041bbb08b7a,0.1,3,0.4,625
9,0.09,0.03,1264.0,25297.670107019927,9,6041bbb08b7a,0.1,3,0.4,625
10,0.09,0.03,1364.0,26632.05583245422,10,6041bbb08b7a,0.1,3,0.4,625
11,0.09,0.03,1425.0,27696.509208723503,11,6041bbb08b7a,0.1,3,0.4,625
12,0.09,0.03,1521.0,28769.783911591578,12,6041bbb08b7a,0.1,3,0.4,625
13,0.09,0.03,1612.0,30600.802437056584,13,6041bbb08b7a,0.1,3,0.4,625
0,0.09,0.03,1.0,17.037596488281302,0,50978330f36b,0.1,3,0.4,625
1,0.09,0.03,8.0,244.7547787995892,1,50978330f36b,0.1,3,0.4,625
2,0.09,0.03,21.0,986.9579193899546,2,50978330f36b,0.1,3,0.4,625
3,0.09,0.03,90.0,2691.033680373044,3,50978330f36b,0.1,3,0.4,625
4,0.09,0.03,198.0,4728.494167040201,4,50978330f36b,0.1,3,0.4,625
5,0.09,0.03,390.0,7481.82867416141,5,50978330f36b,0.1,3,0.4,625
6,0.09,0.03,570.0,10584.810802105678,6,50978330f36b,0.1,3,0.4,625
7,0.09,0.03,747.0,15051.93033948682,7,50978330f36b,0.1,3,0.4,625
8,0.09,0.03,880.0,19454.77041292116,8,50978330f36b,0.1,3,0.4,625
9,0.09,0.03,1036.0,22289.66406878784,9,50978330f36b,0.1,3,0.4,625
10,0.09,0.03,1185.0,24440.323149165717,10,50978330f36b,0.1,3,0.4,625
11,0.09,0.03,1277.0,26034.027648311923,11,50978330f36b,0.1,3,0.4,625
12,0.09,0.03,1408.0,27439.047784432703,12,50978330f36b,0.1,3,0.4,625
13,0.09,0.03,1528.0,29431.195654544077,13,50978330f36b,0.1,3,0.4,625
0,0.09,0.03,26.0,698.0462980270378,0,980d62c61247,0.1,3,0.4,625
1,0.09,0.03,107.0,2635.3678334848246,1,980d62c61247,0.1,3,0.4,625
2,0.09,0.03,319.0,5606.156769204331,2,980d62c61247,0.1,3,0.4,625
3,0.09,0.03,597.0,9428.303225473768,3,980d62c61247,0.1,3,0.4,625
