Unnamed: 0,b_w,b_b,monthly_cuml,months,seed,alpha,shift,D
11,0.07,0.03,1206.0,11,76bae15e8ae9,0.1,3,0.8
12,0.07,0.03,1307.0,12,76bae15e8ae9,0.1,3,0.8
13,0.07,0.03,1393.0,13,76bae15e8ae9,0.1,3,0.8
0,0.07,0.03,1.0,0,5f9e3d4a0fa6,0.1,3,0.8
1,0.07,0.03,4.0,1,5f9e3d4a0fa6,0.1,3,0.8
2,0.07,0.03,6.0,2,5f9e3d4a0fa6,0.1,3,0.8
3,0.07,0.03,11.0,3,5f9e3d4a0fa6,0.1,3,0.8
4,0.07,0.03,64.0,4,5f9e3d4a0fa6,0.1,3,0.8
5,0.07,0.03,151.0,5,5f9e3d4a0fa6,0.1,3,0.8
6,0.07,0.03,342.0,6,5f9e3d4a0fa6,0.1,3,0.8
7,0.07,0.03,520.0,7,5f9e3d4a0fa6,0.1,3,0.8
8,0.07,0.03,637.0,8,5f9e3d4a0fa6,0.1,3,0.8
9,0.07,0.03,847.0,9,5f9e3d4a0fa6,0.1,3,0.8
10,0.07,0.03,983.0,10,5f9e3d4a0fa6,0.1,3,0.8
11,0.07,0.03,1043.0,11,5f9e3d4a0fa6,0.1,3,0.8
12,0.07,0.03,1180.0,12,5f9e3d4a0fa6,0.1,3,0.8
13,0.07,0.03,1281.0,13,5f9e3d4a0fa6,0.1,3,0.8
0,0.07,0.03,1.0,0,62fb418140a7,0.1,3,0.8
1,0.07,0.03,6.0,1,62fb418140a7,0.1,3,0.8
2,0.07,0.03,11.0,2,62fb418140a7,0.1,3,0.8
3,0.07,0.03,42.0,3,62fb418140a7,0.1,3,0.8
4,0.07,0.03,134.0,4,62fb418140a7,0.1,3,0.8
5,0.07,0.03,301.0,5,62fb418140a7,0.1,3,0.8
6,0.07,0.03,520.0,6,62fb418140a7,0.1,3,0.8
7,0.07,0.03,680.0,7,62fb418140a7,0.1,3,0.8
8,0.07,0.03,791.0,8,62fb418140a7,0.1,3,0.8
9,0.07,0.03,975.0,9,62fb418140a7,0.1,3,0.8
10,0.07,0.03,1076.0,10,62fb418140a7,0.1,3,0.8
11,0.07,0.03,1119.0,11,62fb418140a7,0.1,3,0.8
12,0.07,0.03,1229.0,12,62fb418140a7,0.1,3,0.8
13,0.07,0.03,1338.0,13,62fb418140a7,0.1,3,0.8
0,0.07,0.03,27.0,0,64c50151e532,0.1,3,0.8
1,0.07,0.03,57.0,1,64c50151e532,0.1,3,0.8
2,0.07,0.03,124.0,2,64c50151e532,0.1,3,0.8
3,0.07,0.03,298.0,3,64c50151e532,0.1,3,0.8
4,0.07,0.03,548.0,4,64c50151e532,0.1,3,0.8
5,0.07,0.03,769.0,5,64c50151e532,0.1,3,0.8
6,0.07,0.03,932.0,6,64c50151e532,0.1,3,0.8
7,0.07,0.03,1026.0,7,64c50151e532,0.1,3,0.8
8,0.07,0.03,1061.0,8,64c50151e532,0.1,3,0.8
9,0.07,0.03,1188.0,9,64c50151e532,0.1,3,0.8
10,0.07,0.03,1260.0,10,64c50151e532,0.1,3,0.8
11,0.07,0.03,1291.0,11,64c50151e532,0.1,3,0.8
12,0.07,0.03,1377.0,12,64c50151e532,0.1,3,0.8
13,0.07,0.03,1460.0,13,64c50151e532,0.1,3,0.8
0,0.07,0.03,1.0,0,9438623106d0,0.1,3,0.8
1,0.07,0.03,2.0,1,9438623106d0,0.1,3,0.8
2,0.07,0.03,2.0,2,9438623106d0,0.1,3,0.8
3,0.07,0.03,3.0,3,9438623106d0,0.1,3,0.8
4,0.07,0.03,5.0,4,9438623106d0,0.1,3,0.8
5,0.07,0.03,8.0,5,9438623106d0,0.1,3,0.8
6,0.07,0.03,31.0,6,9438623106d0,0.1,3,0.8
7,0.07,0.03,63.0,7,9438623106d0,0.1,3,0.8
8,0.07,0.03,123.0,8,9438623106d0,0.1,3,0.8
9,0.07,0.03,286.0,9,9438623106d0,0.1,3,0.8
10,0.07,0.03,468.0,10,9438623106d0,0.1,3,0.8
11,0.07,0.03,646.0,11,9438623106d0,0.1,3,0.8
12,0.07,0.03,819.0,12,9438623106d0,0.1,3,0.8
13,0.07,0.03,1006.0,13,9438623106d0,0.1,3,0.8
0,0.07,0.03,1.0,0,ae9dd7c4d1d6,0.1,3,0.8
1,0.07,0.03,3.0,1,ae9dd7c4d1d6,0.1,3,0.8
2,0.07,0.03,4.0,2,ae9dd7c4d1d6,0.1,3,0.8
3,0.07,0.03,58.0,3,ae9dd7c4d1d6,0.1,3,0.8
4,0.07,0.03,150.0,4,ae9dd7c4d1d6,0.1,3,0.8
5,0.07,0.03,330.0,5,ae9dd7c4d1d6,0.1,3,0.8
6,0.07,0.03,569.0,6,ae9dd7c4d1d6,0.1,3,0.8
7,0.07,0.03,711.0,7,ae9dd7c4d1d6,0.1,3,0.8
8,0.07,0.03,805.0,8,ae9dd7c4d1d6,0.1,3,0.8
9,0.07,0.03,989.0,9,ae9dd7c4d1d6,0.1,3,0.8
10,0.07,0.03,1089.0,10,ae9dd7c4d1d6,0.1,3,0.8
11,0.07,0.03,1126.0,11,ae9dd7c4d1d6,0.1,3,0.8
12,0.07,0.03,1245.0,12,ae9dd7c4d1d6,0.1,3,0.8
13,0.07,0.03,1347.0,13,ae9dd7c4d1d6,0.1,3,0.8
0,0.07,0.03,1.0,0,26d72e99775e,0.1,3,0.8
1,0.07,0.03,1.0,1,26d72e99775e,0.1,3,0.8
2,0.07,0.03,1.0,2,26d72e99775e,0.1,3,0.8
3,0.07,0.03,1.0,3,26d72e99775e,0.1,3,0.8
4,0.07,0.03,1.0,4,26d72e99775e,0.1,3,0.8
5,0.07,0.03,1.0,5,26d72e99775e,0.1,3,0.8
6,0.07,0.03,1.0,6,26d72e99775e,0.1,3,0.8
7,0.07,0.03,2.0,7,26d72e99775e,0.1,3,0.8
8,0.07,0.03,2.0,8,26d72e99775e,0.1,3,0.8
9,0.07,0.03,2.0,9,26d72e99775e,0.1,3,0.8
10,0.07,0.03,3.0,10,26d72e99775e,0.1,3,0.8
11,0.07,0.03,3.0,11,26d72e99775e,0.1,3,0.8
12,0.07,0.03,3.0,12,26d72e99775e,0.1,3,0.8
