Unnamed: 0,b_w,b_b,monthly_cuml,monthly_h,months,seed,alpha,shift,D,P
5,0.08,0.03,769.0,15857.40369781518,5,7cd0b80510ba,0.1,3,0.8,625
6,0.08,0.03,952.0,20541.852465670458,6,7cd0b80510ba,0.1,3,0.8,625
7,0.08,0.03,1008.0,23135.10947374313,7,7cd0b80510ba,0.1,3,0.8,625
8,0.08,0.03,1055.0,24721.393916061734,8,7cd0b80510ba,0.1,3,0.8,625
9,0.08,0.03,1209.0,25970.32712659109,9,7cd0b80510ba,0.1,3,0.8,625
10,0.08,0.03,1237.0,26756.004310908276,10,7cd0b80510ba,0.1,3,0.8,625
11,0.08,0.03,1274.0,27869.290814212203,11,7cd0b80510ba,0.1,3,0.8,625
12,0.08,0.03,1409.0,29033.79564653823,12,7cd0b80510ba,0.1,3,0.8,625
13,0.08,0.03,1433.0,30185.24697836697,13,7cd0b80510ba,0.1,3,0.8,625
0,0.08,0.03,8.0,215.92582719422765,0,c6f5c46f9e3d,0.1,3,0.8,625
1,0.08,0.03,14.0,464.4889103403341,1,c6f5c46f9e3d,0.1,3,0.8,625
2,0.08,0.03,30.0,1720.5676508888273,2,c6f5c46f9e3d,0.1,3,0.8,625
3,0.08,0.03,113.0,4029.666254177589,3,c6f5c46f9e3d,0.1,3,0.8,625
4,0.08,0.03,251.0,6819.913940393079,4,c6f5c46f9e3d,0.1,3,0.8,625
5,0.08,0.03,469.0,10260.424496807247,5,c6f5c46f9e3d,0.1,3,0.8,625
6,0.08,0.03,662.0,14171.082160994543,6,c6f5c46f9e3d,0.1,3,0.8,625
7,0.08,0.03,782.0,18925.754321386125,7,c6f5c46f9e3d,0.1,3,0.8,625
8,0.08,0.03,871.0,22815.61880624538,8,c6f5c46f9e3d,0.1,3,0.8,625
9,0.08,0.03,1082.0,24689.970164648803,9,c6f5c46f9e3d,0.1,3,0.8,625
10,0.08,0.03,1133.0,25657.383139033987,10,c6f5c46f9e3d,0.1,3,0.8,625
11,0.08,0.03,1182.0,27019.298597705267,11,c6f5c46f9e3d,0.1,3,0.8,625
12,0.08,0.03,1353.0,28342.297251604672,12,c6f5c46f9e3d,0.1,3,0.8,625
13,0.08,0.03,1377.0,29526.150172505702,13,c6f5c46f9e3d,0.1,3,0.8,625
0,0.08,0.03,3.0,92.81681524159936,0,7d55d6c62061,0.1,3,0.8,625
1,0.08,0.03,8.0,398.6312389908766,1,7d55d6c62061,0.1,3,0.8,625
2,0.08,0.03,28.0,1302.8468213085637,2,7d55d6c62061,0.1,3,0.8,625
3,0.08,0.03,91.0,3689.731667634088,3,7d55d6c62061,0.1,3,0.8,625
4,0.08,0.03,205.0,6666.221265613498,4,7d55d6c62061,0.1,3,0.8,625
5,0.08,0.03,365.0,11353.271593919597,5,7d55d6c62061,0.1,3,0.8,625
6,0.08,0.03,625.0,16770.57958077997,6,7d55d6c62061,0.1,3,0.8,625
7,0.08,0.03,734.0,19995.267026576763,7,7d55d6c62061,0.1,3,0.8,625
8,0.08,0.03,834.0,22451.96885377481,8,7d55d6c62061,0.1,3,0.8,625
9,0.08,0.03,1054.0,24173.979503503644,9,7d55d6c62061,0.1,3,0.8,625
10,0.08,0.03,1099.0,25299.355493840303,10,7d55d6c62061,0.1,3,0.8,625
11,0.08,0.03,1163.0,26719.886410782263,11,7d55d6c62061,0.1,3,0.8,625
12,0.08,0.03,1344.0,28030.57473836425,12,7d55d6c62061,0.1,3,0.8,625
13,0.08,0.03,1371.0,29200.73813463121,13,7d55d6c62061,0.1,3,0.8,625
0,0.08,0.03,2.0,45.85798637382353,0,405852ac33c8,0.1,3,0.8,625
1,0.08,0.03,3.0,211.11030524192824,1,405852ac33c8,0.1,3,0.8,625
2,0.08,0.03,7.0,1242.573862307335,2,405852ac33c8,0.1,3,0.8,625
